Repository	Package-Lock	Npm-ShrinkWrap	Yarn	All-Fixed	No-Dependency
log4js	1	0	0	0	0
yeomanenvironment	1	0	0	0	0
ioredis	1	0	0	0	0
uglifyjs	0	0	0	0	0
history	0	0	0	0	0
mqtt	0	0	0	0	0
validator	0	0	0	0	0
alifdnext	0	0	0	0	0
reacthotloader	0	0	0	0	0
apollolink	1	0	0	0	0
apollolinkhttp	1	0	0	0	0
iview	0	0	0	0	0
superagent	0	0	0	0	0
emberclibabel	0	0	0	0	0
elementui	0	0	0	0	0
cliux	0	0	0	0	0
vue	1	0	0	0	0
nodemailer	0	0	0	0	0
vuetemplatecompiler	1	0	0	0	0
jade	0	0	0	0	0
awesometypescriptloader	0	0	0	0	0
mobxreact	0	0	0	0	0
web3	1	0	0	0	0
bluebird	1	0	0	0	0
helmet	1	0	0	0	0
jsdoc	1	0	0	0	0
tslint	0	0	0	0	0
eslintpluginreact	0	0	0	0	0
mysql2	1	0	0	0	0
ejs	1	0	0	0	0
socketioclient	1	0	0	0	0
socketio	1	0	0	0	0
joi	0	0	0	0	0
yeomangenerator	1	0	0	0	0
systemjs	0	0	0	0	0
nodeforge	0	0	0	0	0
oclifcommand	0	0	0	0	0
bodyparser	0	0	0	0	0
nodesass	0	0	0	0	0
elasticsearch	0	0	0	0	0
inversify	1	0	0	0	0
webpackcli	0	0	0	0	0
leveldown	0	0	0	0	0
nodegit	1	0	0	0	0
babylon	0	0	0	0	0
d3	0	0	0	0	0
pino	0	0	0	0	0
sharp	0	0	0	0	0
discordjs	1	0	0	0	0
eslintpluginimport	0	0	0	0	0
serialport	1	0	0	0	0
ws	0	0	0	0	0
nanoid	0	0	0	0	0
raven	0	0	0	0	0
puppeteer	0	0	0	0	0
webpackdevmiddleware	1	0	0	0	0
reactdatepicker	0	0	0	0	0
bower	0	0	0	0	0
oclifconfig	0	0	0	0	0
restify	0	0	0	0	0
got	0	0	0	0	0
nyc	0	0	0	0	0
reactselect	0	0	0	0	0
lodash	1	0	0	0	0
lodashmerge	1	0	0	0	0
lodashget	1	0	0	0	0
lodashdebounce	1	0	0	0	0
lodashisequal	1	0	0	0	0
lodashclonedeep	1	0	0	0	0
lodashthrottle	1	0	0	0	0
lodashassign	1	0	0	0	0
lodashes	1	0	0	0	0
lodashomit	1	0	0	0	0
lodashpick	1	0	0	0	0
lodashdefaults	1	0	0	0	0
lodashcamelcase	1	0	0	0	0
lodashisplainobject	1	0	0	0	0
lodashuniq	1	0	0	0	0
lodashisfunction	1	0	0	0	0
lodashisstring	1	0	0	0	0
lodashtemplate	1	0	0	0	0
lodashisempty	1	0	0	0	0
lodashmap	1	0	0	0	0
lodashforeach	1	0	0	0	0
lodashflatten	1	0	0	0	0
lodashisobject	1	0	0	0	0
i18next	1	0	0	0	0
mobx	0	0	0	0	0
rxjs	1	0	0	0	0
request	0	0	0	0	0
typeorm	1	0	0	0	0
reduxform	1	0	0	0	0
browserslist	0	0	0	0	0
reactrouterdom	0	0	0	0	0
reactrouter	0	0	0	0	0
tsjest	1	0	0	0	0
reactvirtualized	0	0	0	0	0
corejs	0	0	0	0	0
pg	0	0	0	0	0
preact	1	0	0	0	0
googleapis	0	0	0	0	0
emberclihtmlbars	0	0	0	0	0
yargs	0	0	0	0	0
mocha	1	0	0	0	0
styledcomponents	0	0	0	0	0
nock	1	0	0	0	0
webpackdevserver	1	0	0	0	0
recast	1	0	0	0	0
standard	0	0	0	0	0
knex	0	0	0	0	0
jsdom	0	0	0	0	0
github	1	0	0	0	0
octokitrest	1	0	0	0	0
jest	0	0	0	0	0
babeljest	0	0	0	0	0
jestresolve	0	0	0	0	0
quill	0	0	0	0	0
reactintl	1	0	0	0	0
ajv	0	0	0	0	0
reactbootstrap	0	0	0	0	0
react	0	0	0	0	0
reactdom	0	0	0	0	0
createreactclass	0	0	0	0	0
eslintpluginreacthooks	0	0	0	0	0
reactaddonscsstransitiongroup	0	0	0	0	0
reacttestrenderer	0	0	0	0	0
reactaddonsshallowcompare	0	0	0	0	0
browsersync	1	0	0	0	0
graphql	1	0	0	0	0
graphqltools	0	0	0	0	0
karma	1	0	0	0	0
mongodb	1	0	0	0	0
hapi	0	0	0	0	0
